id;candidato;partigo;estado;indice
178986;NILTO TATTO;PT;SP;0.8862422360248446
160556;João Carlos Siqueira;PT;MG;0.8183481508545448
204467;ROSA NEIDE SANDES DE ALMEIDA;;MT;0.8160224089635854
204420;Julian Lemos;UNIÃO;PB;0.2652380952380952
204427;Fernando Rodolfo;PL;PE;0.1473109243697479
92699;Fernando Monteiro;PP;PE;0.07809523809523809
204476;Chiquinho Brazão;UNIÃO;RJ;0.18523809523809526
204370;Célio Moura;PT;TO;0.8603588681849551
5533;Lasier Martins;PODE;Não informado;0.6
204423;André Ferreira;PL;PE;0.20825396825396827
945;Alvaro Dias;PODE;Não informado;0.5
178895;Misael Varella;PSD;MG;0.06488612836438923
178843;Marx Beltrão;PP;AL;0.2638095238095238
204358;Beto Pereira;PSDB;MS;0.08595238095238096
73701;Benedita Da Silva;PT;RJ;0.500546218487395
204499;Cássio Andrade;PSB;PA;0.4850338976170178
107283;Gleisi Hoffmann;PT;PR;0.66190151422888
204382;Loester Trutis;PL;MS;0.27809523809523806
204459;Daniela Do Waguinho;UNIÃO;RJ;0.20047619047619047
160518;Weliton Prado;PROS;MG;0.6359296472212074
204501;Alencar Santana;PT;SP;0.7719571306783582
160511;Alessandro Molon;PSB;RJ;0.6929685787358422
204505;Vavá Martins;REPUBLICANOS;PA;0.31084886128364386
204507;Carla Zambelli;PL;SP;0.27809523809523806
1186;Luis Carlos Heinze;PP;Não informado;0.6
178947;Sóstenes Cavalcante;PL;RJ;0.18857142857142856
204408;Gustinho Ribeiro;REPUBLICANOS;SE;0.23714285714285716
178863;Uldurico Junior;MDB;BA;0.41495798319327737
204372;Julio Cesar Ribeiro;REPUBLICANOS;DF;0.19190476190476188
141408;Cleber Verde;REPUBLICANOS;MA;0.17857142857142855
160527;Aguinaldo Ribeiro;PP;PB;0.2811111111111111
178910;Joaquim Passarinho;PL;PA;0.21345755693581783
204472;José Medeiros;PL;MT;0.21605042016806725
204536;Kim Kataguiri;UNIÃO;SP;0.317390289449113
178959;Hiran Gonçalves;PP;RR;0.0919047619047619
178997;Moses Rodrigues;UNIÃO;CE;0.049761904761904764
178948;Beto Rosado;PP;RN;0.18476190476190477
74057;Alice Portugal;PC do B;BA;0.781911663216011
204478;Vinicius Farah;UNIÃO;RJ;0.22369747899159664
204395;Pedro Lupion;PP;PR;0.13714285714285715
178924;Capitão Fábio Abreu;PSD;PI;0.27809523809523806
204353;Aline Gurgel;REPUBLICANOS;AP;0.27928571428571425
204566;Marreca Filho;PATRIOTA;MA;0.29625258799171844
160541;Arthur Lira;PP;AL;0.017094017094017096
160642;Pastor Eurico;PL;PE;0.07142857142857142
204483;Vilson Da Fetaemg;PSB;MG;0.8972739820565907
141488;Paulo Teixeira;PT;SP;0.6082555920919093
204574;Junior Lourenço;PL;MA;0.04238095238095238
122195;Leonardo Gadelha;PSC;PB;0.11254901960784314
204572;Capitão Alberto Neto;PL;AM;0.17095238095238097
178886;Juscelino Filho;UNIÃO;MA;0.1281573498964803
141421;Eduardo Da Fonte;PP;PE;0.08476190476190476
74784;Luiza Erundina;PSOL;SP;0.7404609669954938
204521;Abou Anni;UNIÃO;SP;0.1514285714285714
141518;Paulinho Da Força;SOLIDARIEDADE;SP;0.09026610644257702
204512;Delegado Marcelo Freitas;UNIÃO;MG;0.2785714285714286
204449;Nelson Barbudo;PL;MT;0.27142857142857146
204511;David Soares;UNIÃO;SP;0.1514285714285714
204523;Lucas Gonzalez;NOVO;MG;0.2785714285714286
93083;Cacá Leão;PP;BA;0.0919047619047619
178954;Lucio Mosquini;MDB;RO;0.14857142857142858
178972;Alex Manente;CIDADANIA;SP;0.28865079365079366
204355;Da Vitoria;PP;ES;0.28012422360248446
178889;Zé Carlos;PT;MA;0.7937888198757764
5236;Reguffe;UNIÃO;Não informado;0.8
204434;Dra. Vanda Milani;PROS;AC;0.18238095238095237
178987;Orlando Silva;PCdoB;SP;0.6936093857832988
178866;Luizianne Lins;PT;CE;0.6426545690740064
160635;Ruy Carneiro;PSC;PB;0.5468530020703934
204537;Enrico Misasi;MDB;SP;0.8267210652376893
178925;Rejane Dias;PT;PI;0.8629503105590063
73531;Ivan Valente;PSOL;SP;0.7481179718264117
74749;Mauro Lopes;PP;MG;0.1273109243697479
178884;Hildo Rocha;MDB;MA;0.14857142857142858
160531;Jhonatan De Jesus;REPUBLICANOS;RR;0.1638095238095238
204376;Coronel Armando;PL;SC;0.27142857142857146
160641;Professora Marcivania;PC do B;AP;0.8117253278122843
204430;Margarete Coelho;PP;PI;0.18911216660577274
204460;Carlos Jordy;PL;RJ;0.2580952380952381
204538;Paulo Bengtson;PTB;PA;0.21000000000000002
160569;Waldenor Pereira;PT;BA;0.7613601672553079
116379;Darci De Matos;PSD;SC;0.19625258799171844
178916;Daniel Coelho;CIDADANIA;PE;0.7434104656355297
160538;Bohn Gass;PT;RS;0.6518191044533755
204532;Vinicius Poit;NOVO;SP;0.25142857142857145
204433;Marcelo Calero;PSD;RJ;0.22964803312629395
204529;Policial Katia Sastre;PL;SP;0.21286647992530344
204419;Glaustin Da Fokus;PSC;GO;0.2319047619047619
178946;Soraya Santos;PL;RJ;0.17095238095238097
204533;Idilvan Alencar;PDT;CE;0.8755531197986441
5350;Jorginho Mello;PL;Não informado;0.6
204409;Daniel Trzeciak;PSDB;RS;0.27476190476190476
204366;Rodrigo Coelho;PODE;SC;0.39190476190476187
74317;Júlio Cesar;PSD;PI;0.17095238095238097
204522;Marco Bertaiolli;PSD;SP;0.18631469979296067
73441;Celso Russomanno;REPUBLICANOS;SP;0.07142857142857142
207309;Enéias Reis;PP;MG;0.014285714285714285
178928;Christiane De Souza Yared;PP;PR;0.2311204481792717
74400;Paulo Pimenta;PT;RS;0.6284547152194211
178881;Aluisio Mendes;PSC;MA;0.28196687370600415
74439;Wolney Queiroz;PDT;PE;0.591465310761986
178836;Alan Rick;UNIÃO;AC;0.12047619047619047
5322;Romário;PL;Não informado;0.6
152610;Roberto Alves;REPUBLICANOS;SP;0.19190476190476188
178882;André Fufuca;PP;MA;0.14952380952380953
204506;Marcos Pereira;REPUBLICANOS;SP;0.0638095238095238
160512;Aureo Ribeiro;SOLIDARIEDADE;RJ;0.14777777777777779
204458;Major Fabiana;PL;RJ;0.17809523809523808
74161;Reginaldo Lopes;PT;MG;0.7333966630130313
204486;Mauro Benevides Filho;PDT;CE;0.41865079365079366
141516;Paulo Abi-Ackel;PSDB;MG;0.16666666666666669
74283;Vicentinho;PT;SP;0.8354451345755693
141553;Vanderlei Macris;PSDB;SP;0.40731234522794624
178933;Sergio Souza;MDB;PR;0.12015873015873016
74585;Lincoln Portela;PL;MG;0.19935817805383022
204374;Bia Kicis;PL;DF;0.25857142857142856
1249;Kátia Abreu;PP;Não informado;0.6
179587;Vitor Hugo;PL;GO;0.17857142857142855
204524;Pinheirinho;PP;MG;0.1419047619047619
204365;Gilson Marques;NOVO;SC;0.2785714285714286
160632;Zé Silva;SOLIDARIEDADE;MG;0.2525396825396825
141398;Carlos Zarattini;PT;SP;0.6662097592660252
141523;Raul Henry;MDB;PE;0.6415668006332969
204418;Luizão Goulart;SOLIDARIEDADE;PR;0.18196687370600415
74398;Maria Do Rosário;PT;RS;0.66529188486989
178985;Miguel Lombardi;PL;SP;0.1977871148459384
204453;Natália Bonavides;PT;RN;0.8562111801242235
204544;Alexandre Frota;PSDB;SP;0.6619981325863679
73943;Perpétua Almeida;PC do B;AC;0.864520358868185
204554;Abílio Santana;PSC;BA;0.15666666666666668
204455;Luiz Lima;PL;RJ;0.27142857142857146
160598;Flávia Morais;PDT;GO;0.62451609629359
171617;Paulão;PT;AL;0.8883043072301383
74299;Leônidas Cristino;PDT;CE;0.7920634920634921
160674;Hugo Motta;REPUBLICANOS;PB;0.04952380952380952
178920;Ricardo Teobaldo;PODE;PE;0.30333333333333334
73604;Rui Falcão;PT;SP;0.6368633540372671
160653;Roberto De Lucena;REPUBLICANOS;SP;0.34441379450330856
204548;Heitor Freire;UNIÃO;CE;0.2642857142857143
74655;Eduardo Barbosa;PSDB;MG;0.42945378151260505
205535;Patricia Ferraz;PODE;AP;0.1
178990;Samuel Moreira;PSDB;SP;0.4344537815126051
205863;Marcelo Brum;REPUBLICANOS;RS;0.16476190476190475
90;José Serra;PSDB;Não informado;0.2
141555;Vinicius Carvalho;REPUBLICANOS;SP;0.17809523809523808
204504;Cezinha De Madureira;PSD;SP;0.0638095238095238
204479;Nicoletti;UNIÃO;RR;0.17857142857142855
160592;Zeca Dirceu;PT;PR;0.8040313806682093
204557;Sidney Leite;PSD;AM;0.1638095238095238
204485;Luiz Carlos Motta;PL;SP;0.18476190476190477
74158;Mário Heringer;PDT;MG;0.6605462184873949
204373;Hélio Costa;PSD;SC;0.20330816384524825
204422;Ossesio Silva;REPUBLICANOS;PE;0.19190476190476188
204496;Celso Sabino;UNIÃO;PA;0.20631469979296066
177282;Subtenente Gonzaga;PSD;MG;0.6655561644947834
5352;Rogério Carvalho;PT;Não informado;0.4
178908;Delegado Éder Mauro;PL;PA;0.20428571428571426
81055;Márcio Jerry;PC do B;MA;0.30403726708074535
141422;Efraim Filho;UNIÃO;PB;0.08857142857142856
75431;Maurício Dziedricki;PODE;RS;0.25857142857142856
109429;Benes Leocádio;UNIÃO;RN;0.17761904761904762
5422;Marcos Rogério;PL;Não informado;0.6
74848;Jandira Feghali;PC do B;RJ;0.8186266390614219
204426;Carlos Veras;PT;PE;0.78017111192303
204480;Rogério Correia;PT;MG;0.8245189380099867
178951;Rafael Motta;PSB;RN;0.7247718507692932
178857;Jorge Solla;PT;BA;0.7539648033126294
164359;Delegado Waldir;UNIÃO;GO;0.35857142857142854
204560;Adolfo Viana;PSDB;BA;0.2719047619047619
204514;Coronel Tadeu;PL;SP;0.25857142857142856
204575;Gil Cutrim;REPUBLICANOS;MA;0.2156728778467909
204492;Paulo Guedes;PT;MG;0.7740003247675882
204412;Dr. Zacharias Calil;UNIÃO;GO;0.36847481021394063
178964;Heitor Schuch;PSB;RS;0.7173746600089311
73433;Arlindo Chinaglia;PT;SP;0.7231835342832785
204407;Fernanda Melchionna;PSOL;RS;0.7431904355945276
62881;Danilo Forte;UNIÃO;CE;0.09301587301587302
73466;Rubens Bueno;CIDADANIA;PR;0.571984126984127
160553;Antonio Brito;PSD;BA;0.19190476190476188
204415;Nereu Crispim;PSD;RS;0.36523809523809525
156190;Marcel Van Hattem;NOVO;RS;0.2785714285714286
204527;Geninho Zuliani;UNIÃO;SP;0.15761904761904763
178975;Baleia Rossi;MDB;SP;0.2419047619047619
108338;Jaqueline Cassol;PP;RO;0.21857142857142858
141459;João Maia;PL;RN;0.056666666666666664
160508;Afonso Florence;PT;BA;0.7788736654081923
5523;Otto Alencar;PSD;Não informado;0.6
74273;Jefferson Campos;PL;SP;0.32571428571428573
204510;Franco Cartafina;PP;MG;0.27142857142857146
160532;Eli Corrêa Filho;UNIÃO;SP;0.28476190476190477
160510;Luis Tibé;AVANTE;MG;0.0642857142857143
178829;Capitão Augusto;PL;SP;0.18476190476190477
204371;Felipe Rigoni;UNIÃO;ES;0.6499776722283116
204535;Sâmia Bomfim;PSOL;SP;0.4615720781066049
204551;Bosco Saraiva;SOLIDARIEDADE;AM;0.23761904761904762
204542;Denis Bezerra;PSB;CE;0.6776363008971705
204570;Pastor Gil;PL;MA;0.18476190476190477
69871;Bacelar;PV;BA;0.7420622741850365
178930;Roman;PP;PR;0.20428571428571426
178983;Marcio Alvino;PL;SP;0.19190476190476188
207176;Bia Cavassa;PSDB;MS;0.3444537815126051
66828;Fausto Pinato;PP;SP;0.18476190476190477
204518;Dr. Frederico;PATRIOTA;MG;0.12857142857142856
74159;Odair Cunha;PT;MG;0.7584547152194211
160665;Augusto Coutinho;REPUBLICANOS;PE;0.19761904761904764
74262;Carlos Sampaio;PSDB;SP;0.5364827670198513
178956;Mariana Carvalho;REPUBLICANOS;RO;0.391358543417367
204517;Zé Vitor;PL;MG;0.17142857142857143
204484;General Peternelli;UNIÃO;SP;0.17857142857142855
74471;André De Paula;PSD;PE;0.19866946778711486
132504;Enio Verri;PT;PR;0.8551711119230301
204367;Daniel Freitas;PL;SC;0.2785714285714286
204556;Marcelo Ramos;PSD;AM;0.16296296296296298
160575;Erika Kokay;PT;DF;0.8475155279503106
133439;André Figueiredo;PDT;CE;0.785784922664718
74200;Gastão Vieira;PT;MA;0.2640967401453335
204490;Charlles Evangelista;PP;MG;0.27809523809523806
204541;Eduardo Bismarck;PDT;CE;0.8666459627329193
204425;Silvio Costa Filho;REPUBLICANOS;PE;0.34374883286647995
141531;Rodrigo De Castro;UNIÃO;MG;0.30602484472049685
160552;Danrlei De Deus Hinterholz;PSD;RS;0.21577639751552793
178909;Hélio Leite;UNIÃO;PA;0.27095238095238094
5525;Omar Aziz;PSD;Não informado;0.6
204531;Capitão Derrite;PL;SP;0.17857142857142855
160758;Domingos Sávio;PL;MG;0.27380952380952384
73891;Darcísio Perondi;MDB;RS;0.0
73586;Júlio Delgado;PV;MG;0.7869171436690617
204494;Fred Costa;PATRIOTA;MG;0.27472049689440997
204559;Zé Neto;PT;BA;0.7302914789104047
204457;Juninho Do Pneu;UNIÃO;RJ;0.17142857142857143
90842;Santini;PODE;RS;0.12285714285714286
146307;Neri Geller;PP;MT;0.17047619047619048
204563;Josimar Maranhãozinho;PL;MA;0.056666666666666664
